YSO-URI	NorthSámi	Finnish	Swedish	English	
http://www.yso.fi/onto/yso/p37917	3D-čálánat	3D-tulostimet	3D-skrivare	three-dimensional printers	
http://www.yso.fi/onto/yso/p25476	3D-filmmat	3D-elokuvat	3D-filmer	3D films	
http://www.yso.fi/onto/yso/p25238	3G-teknihkka	3G-tekniikka	3G-teknik	3G technology	
http://www.yso.fi/onto/yso/p26235	4G-teknihkka	4G-tekniikka	4G-teknik	4G technology	
http://www.yso.fi/onto/yso/p16570	4H-rieggát	4H-kerhot	4H-klubbar	4-H clubs	
http://www.yso.fi/onto/yso/p27439	5:2-diehtta	5:2-dieetti	5:2-dieten	5:2 diet	
http://www.yso.fi/onto/yso/p29372	5G-teknihkka	5G-tekniikka	5G-teknik	5G technology	
http://www.yso.fi/onto/yso/p29997	a cappella -musihkka	a cappella -musiikki	a cappella-musik	a cappella	
http://www.yso.fi/onto/yso/p23406	A(H1N1)-virus	A(H1N1)-virus	A(H1N1)-virus	A(H1N1) virus	
http://www.yso.fi/onto/yso/p21184	A(H5N1)-virus	A(H5N1)-virus	A(H5N1)-virus	A(H5N1) virus	
http://www.yso.fi/onto/yso/p26179	AA-lihkadus	AA-liike	AA-rörelsen	AA movement	
http://www.yso.fi/onto/yso/p10524	ABAQUS	ABAQUS	ABAQUS	ABAQUS	
http://www.yso.fi/onto/yso/p38526	Ábeskovu álbmotmeahcci	Abiskon kansallispuisto	Abisko nationalpark	Abisko National Park	
http://www.yso.fi/onto/yso/p29139	abessiiva	abessiivi	abessiv	abessive case	
http://www.yso.fi/onto/yso/p7015	ábiruvvát	merenneidot	sjöjungfrur	mermaids	
http://www.yso.fi/onto/yso/p12734	abiturieanttat	abiturientit	abiturienter	candidates for the matriculation examination	
http://www.yso.fi/onto/yso/p27389	ablatiiva	ablatiivi	ablativ	ablative case	
http://www.yso.fi/onto/yso/p25526	abohtat	apotit	abbotar	abbots	
http://www.yso.fi/onto/yso/p39676	abolitionisma (šlávvavuohta)	abolitionismi (orjuus)	abolitionism (slaveri)	abolitionism (slavery)	
http://www.yso.fi/onto/yso/p24360	aboriginálat	aboriginaalit	aboriginer	Aboriginals	
http://www.yso.fi/onto/yso/p8751	aborta	abortti	abort	abortion	
http://www.yso.fi/onto/yso/p28968	ábsintta	absintti	absint	absinthe	
http://www.yso.fi/onto/yso/p23827	absoluhtalaš nuohttabeallji	absoluuttinen sävelkorva	absolut gehör	absolute pitch	
http://www.yso.fi/onto/yso/p17309	absolutisma	absolutismi	absolutism	absolutism	
http://www.yso.fi/onto/yso/p4151	absorptišuvdna	absorptio	absorption	absorption	
http://www.yso.fi/onto/yso/p25946	abstrákta algebra	abstrakti algebra	abstrakt algebra	abstract algebra	
