adaptere	V	sopeutua jhk            ???
avkrefte	V	kieltää         ???
bene	V	                ???
blenke	V	vilkkua         ???
bløtgjøre	V	pehmittää   ??? liottaa???
bortsette	V	            ???
brennemerkke    V   ???
bunne	V	johtua  pohjautua       ???
designe	V	            ???
desorientere	V	hämmentää   johtaa harhaan      ???
detaljere	V	            ???
drifte	V	pitää toiminnassa   käyttää     ???
etterprøve	V	todentaa    vahvistaa   todistaa oikeaksi   ???
fastholde	V	pitäytyä jossakin   pitää kiinni jstk   ???
framkomme	V	tulla esiin     ???
framstå	V	 näyttää jltk   astua esiin               ???
gjennomtenke	V	ajatella tarkaan    ???
klarere	V	selvittää           ???
minere	V	räjäyttää           ??? miinoittaa???
misfarge	V	värjätä         ???
munne	V	- ut i noe päätyä jhk           päättyä johk ???
nedfelle    V   langettaa              ???
nedskrive	V	alentaa supistaa    ???
nedtone	V	vähätellä   ????
nødlande	V	tehdä hätälasku     ???
ommøblere	V	kalustaa uudelleen???
omslutte	V	ympäröidä       ???
oppfølge	V	???
oppreise	V	palauttaa kunnia    ???
oppveie	V	tasata  painaa yhtä paljon  ???
overflytte	V	siirtää ???
overfylle	V	täyttää liiaksi ???
overordne	V	???
passivisere	V	passivoida  lamauttaa???
plane	V	liukua  plaanata    nousta plaaniin ???
predikere	V	ennakoida   ennustaa    ???
pulverisere	V	jauhaa  hienontaa   tehdä???
påakte	V	kiinnittää huomiota???
påregne	V	??? varatua??
randomisere	V	jakaa ???
reprodusere	V	jäljentää   lisääntyä   jatkaa sukua    ???
residivere	V	toistua ???
revurdere	V	arvioida uudelleen  ???
skutle	V	hävittää???
spane	V	vakoilla    ???
tidsbegrense	V	rajoittaa ajassa    ???
tilbakelegge	V	kulkea  matkata ???
tilføre	V	tuoda jhk jtk           ???
tilmåle	V	mitata      ???
trafikkere	V	liikennöidä     ???
trigge	V	laukaista   ärsyttää???
umyndiggjøre	V	            ???
utrope	V	huudahtaa   julistaa jksk????
utspille	V	- seg ????
uttømme	V	tyhjentää    ???
vedrøre	V	koskealiittyä   -ende koskien jtk ???
vekte	V	 painottaa                   ???
videreutvikle	V	kehittää edelleen   ???
