
# Sanat eivät (vielä) ole norjan kielen analyysiohjelmassa, eli ne pitää lisätä.
# Sanat on järjestettu tajuuden mukaan, eli viimeiset sanat voit vain poistaa jos tuntuu siltä, että ne eivät ole tärkeitä.
# Sanat ovat jo norjan kielen analyysiohjelmassa.
# Tässä ovat Grunnbok i sykepleie-sanat jotka eivät löydy NDS:stä eikä Utsin sanakirjasta, mutta jotka ovat sanakirjan.
# Työtehtävä: Käännä suomeksi ja saameksi.
# Työtehtävä: Poista listalta sanat, jotka eivät ole ajankohtaisia sairaanhoitajille.
2# Tässä ovat Grunnbok i sykepleie-sanat jotka eivät löydy NDS:stä eikä Utsin sanakirjasta, mutta jotka ovat sanakirjan.
ADL-funksjon	N	ADL-toiminto
ADL-gjøremål	N	ADL-toiminnot
ADL-indeks	N	ADL-indeksi
AV-knute	N	AV-solmuke  eteis-kammiosolkuke
CO-narkose	N	häkämyrkytys
CO2-narkose	N	hiilidioksidinarkoosi
D-vitamin	N	D-vitamiini
D-vitamindråpe	N	D-vitamiinitippa
EKG-monitor	N	EKG-monitori
EKG-undersøkelse	N	EKG-tutkimus
EPJ-system	N	elektroninen sairauskertomus    sähköinen sairauskertomus
EU-direktiv	N	EU-direktiivi
Ehdotan poistettvaksi: enkeltpasient, fakte, samelov
ICNP-begrep	N	ICNP-käsite
ICNP-diagnose	N	ICNP-diagnoosi
ILO-konvensjon	N	ILO:n sopimus nro 169   Itsenäisten maiden alkuperäis- ja heimokansoja koskeva yleissopimus
IVF-behandling	N	koeputkihedelmöitys in vitro fertilisaatio (IVF)
KMI-verdi	N	painoindeksi    BMI
LIS-lege	N	erikoistuva lääkäri
MNA-skjema	N	MNA-testilomake
MONA-behandling	N	akuutissa sydänkohtauksessa käytettävä hoito: morfiini, happi, nitroglyseriini, asetyylisalisyylihappo
MS-medisin	N	MS-tautilääke
NIC-klassifikasjon	N	NIC-luokitus
PEP-maske	N	PEP-maski
PICO-skjema	N	PICO-taulukko
REM-søvn	N	REM-uni
TT-kort	N	
absorpsjon	N	imeytyminen
abstraksjonsnivå	N	abstraktiotaso
acetylsalisylsyre	N	asetyylisalisyylihappo
adaptasjon	N	adaptaatio
adaptasjonsevne	N	sopeutumiskyky
adaptasjonsnivå	N	sopeutumistaso
adaptasjonsområde	N	sopeutumisalue
adrenalin	N	adrenaliini
aids	N	aids
akillessene	N	akillesjänne
aktivitetsmønster	N	aktiviteettitavat
aktivitetsmulighet	N	aktivitettimahdollisuus
