SØKEORD
Engelsk 	Norsk
the suffering patient 	den lidende pasienten
suffering and enduring 	lidelse
to alleviate suffering 	å lindre lidelse
physical touch in nursing 	fysisk berøring i sykepleie
the patient’s lifeworld 	pasientens livsverden
hope and hopelessness 	håp og håpløshet
search for meaning 	søken etter mening
enhancing hope 	å styrke håpet
thinking positive 	positiv tenkning
spiritual coping strategies 	åndelige mestringsstrategier
narratives of suffering 	narrativer om lidelse
life histories in nursing 	livshistorier brukt i sykepleie
the illness narrative 	sykdomsfortellingen
cognitive strategies 	kognitive strategier
mindfulness 	oppmerksomt nærvær
religion, world view and nursing care 	religion, livssyn og sykepleie
spiritual care and nursing 	åndelig omsorg og sykepleie
spiritual needs 	åndelige behov
suffering in christianity secular humanism and islam 	lidelse i kristendom, sekulærhumanisme og islam
meaning of rituals in religions and worldviews 	betydning av religiøse og livssynsrelaterte ritualer/praksiser
interprofessional collaboration in spiritual care 	tverprofesjonelt samarbeid i åndelig omsorg


Engelsk 	Norsk
palliative care 	palliativ omsorg/palliasjon/lindrende behandling
end of life care 	omsorg ved livets slutt
terminal care 	terminal omsorg
dying patient 	døende pasient
advanced care planning (ACP) 	forhåndssamtaler
palliative nursing 	palliativ sykepleie
end of life 	livets slutt
rituals surrounding death 	ritualer rundt dødsfall

Engelsk 	Norsk
physiological stress 	fysisk stress
psychological stress 	psykologisk stress
coping strategies 	mestringsstrategier
sense of coherence (SOC) 	opplevelse av sammenheng (OAS)
self-efficacy 	mestringsforventning
resilience 	resiliens
psychological capital 	psykologisk kapital
coping with breast cancer 	mestring ved brystkreft
coping with cronic disease 	mestring av kronisk sykdom
changing perspectives 	skiftende perspektiver
self-management support 	mestringsstøtte


Engelsk 	Norsk
lifestyle change 	endring av livsstil
health promotion 	forebyggende helsearbeid, helsefremmende arbeid
health behavio(u)r 	helseatferd
health risk behavio(u)r 	risikoatferd
risk factor 	risikofaktor
health protective factor(s) 	beskyttelsesfaktor
the health belief model 	helseoppfatningsmodellen
the theory of reasoned action 	teorien om begrunnede handlinger
the theory of planned behavior 	teorien om planlagt atferd
the integrated behavioral model 	den integrerte modellen for atferdsendring
the transtheoretical model / stages of change 	den transteoretiske modellen / endringshjulet
non-communicable diseases 	ikke-smittsomme sykdommer, eg. kroniske sykdommer
stages of change 	faser i atferdsendring
self-efficacy 	mestringsforventning
readiness for change 	endringsforberedthet


SØKEORD
Engelsk 	Norsk
empowerment 	bemyndigelse, styrking
health promotion 	helsefremmende arbeid
The Ottawa-charter 	Ottawa-charteret
health education 	helsepedagogikk
motivational interviewing (MI) 	motivasjonssamtale
counselling skills 	veiledningsferdigheter
self-mangement intervention/programs/education 	læring og mestringstiltak
health literacy 	helsekompetanse
written patient information 	skriftlig pasientinformasjon
tailoring 	skreddersøm


Engelsk 	Norsk
continuity of treatment / continuity of care 	behandlingslinjer
collaborative practice 	samarbeidspraksis
collaboration 	samarbeid/samhandling
interprofessional collaboration 	tverrprofesjonelt samarbeid
professional identity 	profesjonell identitet
nurse identity 	sykepleieidentitet
individual care planning 	individuell plan
patient participation
shared decision-making 	brukermedvirkning
interprofessional education 	tverrprofesjonell
samarbeidslæring (TPS)
work places for nurses 	arbeidsområder for sykepleiere


Engelsk 	Norsk
workplace hazards 	arbeidsmiljøutfordringer
Alderfer’s ERG theory of motivation 	Alderfers ERG-motivasjonsteori
Karasek’s job demand-control model 	Karasek krav–kontroll–støtte-modell
Hertzberg two-factor theory 	Hertzbergs tofaktorteori
transformational leadership 	transformasjonsledelse
empowerment/followership 	medarbeiderskap
counselling/mentoring 	faglig og pedagogisk veiledning
nurse as leader 	sykepleieren som leder
compassion fatigue/emotional labour 	emosjonelle krav/emosjonelt arbeid
political role and responsibility 	politisk rolle og ansvar
professional responsibility 	profesjonelt ansvar
planned change 	planlagt endring
change process 	endringsprosess
power and authority 	makt og autoritet
leading change 	endringsledelse
leadership styles 	ledelsesstiler
organizational learning 	organisasjonslæring
experiential learning 	erfaringslæring
  	praktisk yrkesteori
  	
  	
