ball	spábba
barriere	caggi
base	stašuvdna
bl.a.	earret_eará
borrelås	lohkkabáddi
etterforskning	dutkan
etterforskning	dutkkalmasat
forgjengelighet	nohkavašvuohta
gen	gena
gjerde	gárdi
gjerde	gárdut
gjerde	áidi
gjerde	áidut
heltid	ollesáigi
informasjon	diehtojuohkin
informasjon	dieđut
informasjon	dieđáhus
informasjon	informašuvdna
kur	dálkkas
kur	dálkkodeapmi
kur	irggástaddat
registerdata	registtardiehtu
rolle	rolla
rolle	sadji
spiker	spiikkár
stråle	suonjar
stråle	suonjardahttit
stråle	suonjardit
svaberg	šleađđu
symbol	symbola
tallerken	tallearka
trykk	deaddu
trykk	deatta
tyrker	durkalaš
