alkoholabstinens, ved pankreatitt	
allergitesting, hud	
anastomoselekkasje, kirurgi i mage-tarm-kanalen	
anemi, hudfarge	
antiepileptika, se anfallsforebyggende legemidler	
beslutningskompetanse, forutsetninger	
bolustilførsel, sondeernæring	
candidainfeksjon, i underlivet	
diurese, nyresykdom	
ernæringsbehandling, ved sykdom	
ernæringstilstand, vurdering	
etseskader, øye	
fantomsmerter, amputasjon	
FAST, hjerneslag	
feil- og underernæring, konsekvenser	
gjennomskylling, urinblære	
glomerulonefritt, kronisk	
guiding, hjerneslag	
hjemmerehabilitering, hjerneslag	
hudsykdom, kronisk	
behandling, nyreskade	
immunforsvar, ernæring	
instillasjonsbehandling, blærekreft	
jejunostomi, sondeernæring	
kalium, forstyrrelser	
kalsium, forstyrrelser	
karskade, kirurgiske inngrep	
kjevegrep, hjerneslag	
kompresjonsstrømper, venøse leggsår	
kroppsmasseindeks (KMI), vurdering av	
laserbehandling, øyet	
lysbehandling, psoriasis	
natrium, forstyrrelser	
nødlegemidler, epilepsi	
oppkast, blodig	
paracetamol, forgiftning	
perkusjon, urinblære	
prolaps, av uterus eller vagina	
protein, behov	
PSA, prostataspesifikt antigen	
reflekser, endrede	
samtykkekompetanse, forutsetninger	
seksualitet, støtte, veiledning	
sensibilitet, hjerneslag	
soppinfeksjon, hud	
språk, vurdering av funksjon	
stiks, urin	
syre-base-forstyrrelser, nyreskade	
sår, kroniske	
sårtilheling, ernæring	
trombolytisk behandling, hjerneslag	
trombose og emboli, etter kirurgi	
TSF, triceps skin fold	
vektkontroll, ernæringstilstand	
vekttap, kreft	
virusinfeksjon, hud	
vitaminmangel, virkninger	
