NOB ORIGINAL	POS	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU
adjuvant kjemoterapi	Phrase	adjuvantti kemoterapia; adjuvanttihoito; täydentävä hoito; liitännäishoito		adjuvánta kemoterapiija	adjuvánta kemoterapiija		
X adjuvanttihoito	N	täydentävä hoito;  liitännäishoito		adjuvantihoito	komplementára dikšun adjuvánta dikšun		
akutt abdomen	Phrase	akuuutti vatsatauti		akuhta vuoigŋa	akuhta vuoiŋŋašdávda		
akuutti	A	äkillinen; nopeasti kehittyvä; terävä; akuutti		akuhtalaččat	fáhkka	 jođánit ovdáneaddji čavga akuhta
akutt bekkeninfeksjon; PID	Phrase	sisäsynnytintulehdus; PID		akuhta njuoratmánnáinfekšuvdna (PID)	endometrihta PID		
akutt cerebralt vaskulært insult	Phrase	akuutti vaskulaarinen eli verisuoniin liittyvä aivohalvaus		akuhta oaiveskálžžu vaskulára insulta	akuhta vaskulára stroke		
akutt leversvikt	Phrase	akuutti maksan vajaatoiminta		akuhta njuoratmánnáváttut	akuhta njuoratmánnáváttut		
akutt nyreskade	Phrase	äkillinen munuaisvaurio 		akuhta nieidaváttut	fáhkka nieidaváttut		
akutt pankreatitt	Phrase	äkillinen haimatulehdus; akuutti pankreatiitti		akuhta pankreatihtta	fáhkka buozalmasvuohta akuhta buozalmasvuohta		
akutt tubulær nekrose	Phrase	äkillinen munuaistiehyiden tuhoutuminen ja virtsantulon yleensä ohimenevä loppuminen; akuutti tubulusnekroosi		akuhta tubulára nekrosa	njuoratmánnáčoarvviid fáhkka jávkan ja (gaskaboddosaš) čáhcevuođu heaittiheapmi akuhta njuoratmánnánekrosa		
aldersrelatert makuladegenerasjon; AMD	Phrase	silmänpohjan ikärappeuma;  ikääntymiseen liittyvä makuladegeneraatio		ahkeguoskevaš makuladegenerašuvdna (AMD)	makuladegenerašuvdna ahkeguoskevaš makuladegenerašuvdna		
amyotrofisk lateralsklerose; ALS	Phrase	amyotrofinen lateraaliskleroosi; ALS; motoneuronitauti		amyotrofalaš laterála sklerosa ALS	amyotrofalaš laterála sklerosa ALS motornevrona dávda		
anabol fase	Phrase	anabolinen tila		anabolalaš dássi	anabolalaš dilli		
ankyloserende spondylitt; AS; Bekhterevs sykdom	Phrase	ankylosoiva tai ankyloottinen spondylartriitti;  selkärangan niveltulehdus; Bechterewin tauti		ankylosing spondylitis (AS) Ankylosing spondylitis	ankylosing/ ankylosing spondylitis spinal arthritis Bechterev's disease		
anterograd amnesi	Phrase	muistinmenetyksen muoto jossa polilas on kyvyttön tallentamaan uusia muistoja		anterograda amnesia	dakkár amnesia mas oaivi ii nagot vurket ođđa muittuid	
anterograd	A	eteenpäin ajassa suuntautuva; anterogradinen		ovddabeale	ovddosguvlui áiggis anterográda		
apoplexia cerebri; hjerneslag	Phrase	aivohalvaus		oaiveskálžžu	 stroke	apopleksiija	
arterielle leggsår	Phrase	valtimoperäinen säärihaava		varrasuotnaváttut	arteriijalaš julggiid čuohpadeapmi		
arteriovenøse leggsår	Phrase	valtimo-laskimoperäinen säärihaava		arteriovenosa juolgeváttut	arteriovenosa julggiid čuohpadeapmi		
arteriovenøs fistel	Phrase	valtimo-laskimoyhteys; arteriovenoosinen fisteli		arteriovenous fistula	arteriovenous connection arteriovenous fistula		
arteriovenøs malformasjon	Phrase	valtimo-laskimoepämuodostuma; arteriovenoosi malformaatio		arteriovenosa vealaheapmi	arteriovenous vealaheapmi arteriovenous vealaheapmi		
assistert befruktning	Phrase	koeputkihedelmöitys IVF		veahkkebeaivádeapmi	in vitro beaivádeapmi IVF		
atopisk eksem	Phrase	atooppinen ihottuma; atooppinen ekseema		atopalaš eksema	atopalaš dermatihta atopalaš eksema		
autonom dysrefleksi	Phrase	autonominen dysrefleksia; AD		autonomalaš dysrefleksiija	autonomalaš dysrefleksia AD		
Bekhterevs sykdom	Phrase	selkärankareuma; spondylarthritis ancylopoetica; Bechterewin tauti		Bekhtereva dávda	ankylosing spondylarthritis ancylopoetica Bechterew's disease		
benign prostatahyperplasi	Phrase	eturauhasen hyvänlaatuinen liikakasvu; prostatahyperplasia		buorre prostata hyperplasia	buorre prostata hyperplasia		
biologiske legemidler	Phrase	biologiset lääkkeet		biologalaš dálkasat	biologalaš dálkasat		
brekning	N	yökkäys		gahččan	falleheapmi		
chlamydia trachomatis	Phrase	klamydia		chlamydia trachomatis	Klamydia		
kjølehette	N	kylmähattu		čáhcečoaggi	galbma hatti		
cytologisk undersøkelse	Phrase	sytologinen tutkimus		sytologalaš iskkadeapmi	sytologalaš iskkadeapmi		
dagliglivets aktiviteter	Phrase	päivittäiset toiminnot		beaivválaš eallima doaimmat	beaivválaš doaimmat		
degenerative leddsykdommer	Phrase	degeneratiiviset nivelsairaudet		degeneratiiva liigedávddat	degeneratiiva liigedávddat		
degeneratiivinen	A	rappeuttava; rappeutumiseen liittyvä		degeneratiiva	gahččan mii guoská gahččamii		
diabetisk retinopati	Phrase	diabeettinen retinopatia; diabetekseen liittyvä verkkokalvosairaus		diabetesretinopatiija	diabetesretinopatiija čalbmedávda mii lea čadnon sohkardávdii		
Douglas’ abscess	Phrase	Douglasin absessi; Douglasin märkäpaise		Douglasa abseassa	Douglas abscess Douglas suppuration		
dyp hjernestimulering	Phrase	syväaivostimulaatio		čiekŋalis oaiveskálžžu stimuleren	čiekŋalis oaiveskálžžu stimuleren		
dyp venetrombose; DVT	Phrase	syvä laskimotukos; SLT; syvä laskimotromboosi		čiekŋalis varrasuonaid trombosa (DVT)	čiekŋalis varračoarvvi trombosa SLT čiekŋalis varračoarvvi trombosa		
ECOG funksjonsstatus; The Everyday Cognition Performance Status Scale	Phrase	ECOG-toimintakykyluokitus		ECOG funktionála stáhtus	 árgabeaivválaš kognišuvnna ovdáneami stáhtusskála	ECOG doaibmaárvvoštallan	
Edmonton Symptom Assessment System	Phrase	ESAS-oirekysely 		Edmonton dávdamearkkaid árvvoštallanvuogádat	ESAS dávdamearkkaid jearahallan		
eksistensiell behov	Phrase	eksistentiaalinen tarve		eksistensiála dárbu	eksistensiála dárbu		
eksistensiell omsorg	Phrase	eksistentiaalinen hoiva		eksistensiála fuolahus	eksistensiála fuolahus		
ekstern fiksasjon	Phrase	ulkoinen kiinnitys		olggobeale čatnan	olggobeale čatnon		
ekstraartikulær	A	ekstra-artikulaarinen		olggobeale artikulára	olggobeale artikulára		
ekstrakorporal	A	kehon ulkoinen		olggobeale rupmaša	olggobealde rupmaša		
ekstravasal infusjon	Phrase	suonenulkoinen		olggobeale infušuvdna	ekstravaskulára		
ektopisk graviditet	Phrase	kohdunulkoinen raskaus		ektopalaš áhpehisvuohta	ektopalaš áhpehisvuohta		
emosjonsfokusert	A	tunteisiin keskittyvä		dovdduide vuođđuduvvon	emošuvdnafokuserejuvvon		
epiduralt hematom	Phrase	epiduraalihematooma: verenpurkauma epiduraalitilassa		epidurala hematoma	epidurala hematoma varra čuožžileapmi epidurala sajis		
fokale anfall	Phrase	paikallisalkuinen kohtaus		fokála falleheamit	báikkálaččat álgán falleheapmi		
gardnerella vaginalis	Phrase	bakteerivaginoosi; BV		gardnerella vaginalis	bakteriijalaš vaginosa BV		
genital descens	Phrase	gynekologinen laskeuma		sohkabeallečuožžileapmi	gynekologalaš deposišuvdna		
glaukom 	N	viherkaihi; silmänpainetauti; glaukooma		glaukoma (glaukoma)	glaukoma čalmmiid čáhci glaukoma		
grønn stær  N	viherkaihi; silmänpainetauti; glaukooma		glaukoma (glaukoma)	glaukoma čalmmiid čáhci glaukoma
global afasi	Phrase	globaali afasia		globála afasiija	globála afasiija		
glomerulær filtrasjonshastighet	Phrase	glomerulussuodosnopeus GFR		glomerulára filtrerenmearri	glomerulára filtrerenmearri GFR		
glutenfri kost	Phrase	gluteeniton ruoka		glutenkeahtes biebmu	glutenkeahtes biebmu		
grå stær	Phrase	harmaakaihi; katarakta		čalbmeváttut	ruškes katarakta katarakta		
gynekologisk undersøkelse; GU	Phrase	gynekologinen tutkimus		gynekologalaš iskkadeapmi (GU)	gynekologalaš iskkadeapmi		
haemorrhagia cerebri	Phrase	aivoverenvuoto		hemorrhagia cerebri	oaiveskálžžu		
Heimlichs manøver	Phrase	Heimlichin ote  		Heimlich-manovrra	Heimlich-manovrra		
Helicobacter pylori	Phrase	helokobakteeri		Helicobacter pylori	Helicobacter pylori		
herpes genitalis	Phrase	sukupuoliherpes; genitaaliherpes		sohkabealherpes	sohkabealherpes sohkabealherpes		
histologisk undersøkelse	Phrase	kudosnäytteen histologinen tutkimus		histologalaš iskkadeapmi	histologalaš iskkadeapmi (čuvgehusa) ovdamearkkas		
humant papillomavirus-infeksjon HPV	Phrase	papillomavirus; HPV		olbmo papillomavirus (HPV) njoammun	papilloma virus HPV		
hyperton dehydrering	Phrase	hypertoninen kuivuma; hypertoninen dehydraatio		hypertonalaš dehydrerejupmi	hypertonalaš dehydreren hypertonalaš dehydreren		
immunmodulerende	N	immuunivastetta moduloiva		immunomodulerejeaddji	immunvástádusa modulerejeaddji		
immunsupprimerende	N	immunospupressiivinen		immunosuppressiiva	immunosuppressiiva		
intraokulær	A	silmänsisäinen; intraokulaarinen; silmän sisäosaa koskeva		intraokulára	intraokulára intraokulára mii guoská čalmmi siskkáldas oassái		
intravesikal instillasjonsbehandling	Phrase	virtsarakon sisäinen infuusiohoito; intravesikaalinen instillaatiohoito		intravesihkalaš instillašuvdnaterapiija	intravesihkalaš infušuvdnaterapiija intravesihkalaš instillašuvdnaterapiija		
isometrisk øvelse	Phrase	isometrinen harjoitus		isometriijalaš hárjehus	isometriijalaš hárjehus		
isoton dehydrering	Phrase	isotoninen kuivuma; isotoninen dehydraatio		isotonalaš dehydrerejupmi	isotonalaš dehydrerejupmi isotonalaš dehydrerejupmi		
juvenil artritt	Phrase	lastenreuma; Stillin tauti		nuorra artrihta	mánnávuođa revmatisma Still dávda		
kontinent ileostomi	Phrase	pysyvä ohutsuoliavanne		kontineantta ileostomiija	bissovaš smávvasuoli obstrukšuvdna		
kroppslig viten	Phrase	kehollinen tieto		rumašlaš máhttu	rumašlaš máhttu		
medisinsk abort	Phrase	lääkkeellinen abortti		medisiinnalaš aborta	medisiinnalaš aborta		
myasten krise	Phrase	hengityslihasten äkillinen raju heikkeneminen		myastenalaš kriisa	fáhkka	 garrasit vuoiŋŋašlihkadusaid hedjoneapmi	
myasthenia gravis	Phrase	myastenia		myasthenia gravis	myasthenia		
myoma uteri	Phrase	kohdun lihaskyhmy; myooma		myoma uteri	áhpehisvuođa myoma		
nasoenteral sonde	Phrase	nenäohutsuoliletku		nasoenterála čuovga	nasogastrihkalaš čuovga		
nasogastrisk sonde	Phrase	nenämahaletku		nasogastrihkalaš čuovga	nasogastrihkalaš čuovga		
nedsatt bevissthet	Phrase	tajunnan alenema		hedjonan diđolašvuohta	dovdomearkkaid jávkan		
neutropen feber	Phrase	kuumeinen neutropenia		nevtropenalaš feber	febrila neutropenia		
nevropatisk smerte	Phrase	neuropaattinen kipu		nevropatiijalaš váibmu	nevropatiijalaš váibmu		
nyreerstattende behandling	Phrase	munuaisten toiminnan korvaava hoito		njuoratmánná sadjásašterapiija	sadjásaš terapiija nieidadoaimma várás		
palliativ fase	Phrase	palliatiivisen hoidon vaihe		palliatiiva fáddá	palliatiiva dikšuma fáddá		
paralytisk ileus	Phrase	suolilama; paralyyttinen ileus		lámis ileus	lámis ileus		
parastomalt brokk	Phrase	parastomaalinen tyrä		parastomalaš hernia	parastomalaš hernia		
Parkinsons sykdom	Phrase	Parkinsonin tauti		Parkinsona dávda			
X perforert magesår	Phrase	puhjennut vatsahaava		perforerejuvvon njuoratmánná			
